"year","sim","eastings_mean","eastings_sd","northings_mean","northings_sd","eastings_mean_occ","eastings_sd_occ","northings_mean_occ","northings_sd_occ","area_occupied_mean","area_occupied_median","area_occupied_2.5","area_occupied_25","area_occupied_75","area_occupied_97.5","mahalanobis_binom","mahalanobis_tweedie","northings_survey_mean","northings_survey_mean_occ","eastings_survey_mean","eastings_survey_mean_occ","area_occupied_survey_mean","area_occupied_survey_median"
1970,"hindcast",602.041469049323,21.4850223839376,6594.27389808353,24.2970033513532,628.350603407792,5.57372810755428,6587.79011490136,6.33624239469191,0.774847870182556,0.776876267748479,0.742393509127789,0.762677484787018,0.787018255578093,0.809330628803245,2.80099126773306,3.06264560796361,NA,NA,NA,NA,NA,NA
1971,"hindcast",608.990355947378,21.6949689769508,6564.23748305314,15.2421294224298,638.261705734257,6.1249497760591,6563.11786767007,10.7836699307687,0.677484787018256,0.68762677484787,0.651115618661258,0.67342799188641,0.702332657200811,0.754563894523327,2.56781630727131,2.76326515604946,NA,NA,NA,NA,NA,NA
1972,"hindcast",604.48799408378,22.1526727417545,6560.88792683136,16.0711348042135,638.230436750534,6.41850145392501,6550.53415964543,14.0067371296862,0.636916835699797,0.661257606490872,0.622718052738337,0.647058823529412,0.675456389452333,0.742393509127789,3.21193023339232,3.36029349164695,NA,NA,NA,NA,NA,NA
1973,"hindcast",609.258962320409,23.3816292608014,6585.30963690035,22.1713682132915,634.764959713953,5.36086545394751,6582.32482807909,6.98390861452039,0.766734279918864,0.756592292089249,0.718052738336714,0.744421906693712,0.768762677484787,0.793103448275862,2.51196591483938,2.68369034456434,NA,NA,NA,NA,NA,NA
1974,"hindcast",592.303936934609,19.529711733474,6579.47331535731,17.5245194392856,624.129323134475,5.87635731272535,6576.89256874249,7.47337700328259,0.72210953346856,0.734279918864097,0.697768762677485,0.72210953346856,0.748478701825558,0.776876267748479,2.83371242224702,3.12240531070151,NA,NA,NA,NA,NA,NA
1975,"hindcast",608.413484916621,22.2592932068687,6558.03984331241,15.344451056194,637.97135266897,6.32722514200931,6558.91183188906,11.6479810683193,0.636916835699797,0.675456389452333,0.634888438133874,0.661257606490872,0.689655172413793,0.740466531440162,2.86079584438316,3.03746193336866,NA,NA,NA,NA,NA,NA
1976,"hindcast",601.412271259286,20.8560840683411,6565.13749063659,17.6047650001435,636.076363622901,6.61480005158897,6559.54542338044,12.6327244840873,0.608519269776876,0.657200811359026,0.612576064908722,0.643002028397566,0.67342799188641,0.734330628803245,2.76435920101894,2.91799187954724,NA,NA,NA,NA,NA,NA
1977,"hindcast",602.501120788873,21.270690697681,6606.97089178412,27.9610762044876,630.457331697963,5.40056543202674,6593.91257145625,6.44520943857585,0.811359026369168,0.793103448275862,0.762677484787018,0.782961460446247,0.8052738336714,0.825608519269777,2.63917183077959,2.85349688978484,NA,NA,NA,NA,NA,NA
1978,"hindcast",578.854119887662,21.744188627021,6663.26561284426,52.6924200186317,616.32288547198,4.92167895396116,6612.5705770925,6.88937215195006,0.908722109533469,0.858012170385396,0.81130831643002,0.847870182555781,0.86815415821501,0.886409736308316,6.20991869956277,5.88328775625473,NA,NA,NA,NA,NA,NA
1979,"hindcast",562.08989311953,22.6976806487108,6681.99639925299,64.3296555177504,610.734143628116,4.52883360980681,6614.21114481375,9.55174858478703,0.912778904665314,0.858012170385396,0.778853955375254,0.847870182555781,0.86815415821501,0.884381338742394,9.98797254447471,9.1823913427576,NA,NA,NA,NA,NA,NA
1980,"hindcast",587.187556364807,21.6954036429405,6647.17864456792,48.2949563850189,620.291103966695,5.53079756921759,6605.73284045758,7.04195420215316,0.886409736308316,0.83367139959432,0.795131845841785,0.823529411764706,0.843813387423935,0.866125760649087,4.96058326117411,4.78362619919883,NA,NA,NA,NA,NA,NA
1981,"hindcast",579.015528956382,23.1664586247985,6640.11200337784,50.6431118358124,615.355268443207,5.3401132300105,6599.82660398851,7.50687928335035,0.882352941176471,0.827586206896552,0.780933062880324,0.815415821501014,0.837728194726166,0.858012170385396,5.79109708600951,5.60308036725102,NA,NA,NA,NA,NA,NA
1982,"hindcast",598.926067663241,17.3786589945661,6623.5346287264,30.1446224351906,623.247858014428,5.0691245812045,6603.1868768804,5.93433825073409,0.874239350912779,0.821501014198783,0.787018255578093,0.809330628803245,0.83367139959432,0.856034482758621,2.96158691221882,3.02287027993971,6462.66124806268,6455.79226408763,615.590461808335,648.93628298486,1,0.875409836065574
1983,"hindcast",585.91838782866,21.0667406515848,6635.01528888206,41.6376978357154,617.600450663624,5.57586057480486,6605.76348404641,6.82138780570695,0.847870182555781,0.813387423935091,0.774847870182556,0.803245436105477,0.825557809330629,0.843813387423935,3.90703730407245,3.92668633341562,6500.06896223231,6498.62304562507,540.350557898493,581.656870805567,0.978813559322034,0.864406779661017
1984,"hindcast",611.502032943118,22.6223834657594,6571.35216896428,20.9212426451616,632.605801407315,6.0469691078214,6569.68738796382,7.87552902824986,0.669371196754564,0.709939148073022,0.67342799188641,0.697768762677485,0.724137931034483,0.748478701825558,2.54152228151453,2.80567045383343,6466.9312748664,6464.06184817343,576.656788724302,604.164738884196,0.945945945945946,0.814671814671815
1985,"hindcast",603.346334172052,20.8189843239211,6579.64498790502,14.8747813143335,631.132798331539,5.66769139073384,6576.03168209837,8.9489991334369,0.744421906693712,0.738336713995943,0.701774847870183,0.724137931034483,0.752535496957404,0.789097363083164,1.90934580592981,2.18266427831764,6459.55066453595,6448.48689380112,614.840120202186,652.15709334233,0.984709480122324,0.834862385321101
1986,"hindcast",599.963169920036,22.9045548906363,6583.6322972565,20.4167052494645,629.203211038411,5.89724602608369,6578.61197879429,7.88434204911258,0.734279918864097,0.734279918864097,0.697768762677485,0.720081135902637,0.746450304259635,0.772819472616633,2.31531142939295,2.62673147052722,6451.01478140126,6444.92327641254,623.921501726856,663.385459714988,0.975460122699387,0.815950920245399
1987,"hindcast",597.276981284463,22.795358120967,6643.17122834418,40.5424080459152,625.221769707147,5.13817446687628,6608.33714920154,6.02801883164911,0.888438133874239,0.835699797160243,0.801166328600406,0.825557809330629,0.845841784989858,0.866125760649087,3.50813925569247,3.49436843329585,6465.12739756056,6461.45564857567,626.031678487279,658.211596032309,1,0.86875
1988,"hindcast",602.593439732343,20.0232158755772,6599.72233484906,25.451179098938,626.020142186779,5.6993441714416,6591.95601898884,6.46903433938876,0.782961460446247,0.768762677484787,0.734229208924949,0.754563894523327,0.780933062880324,0.803245436105477,2.65955618953132,2.86081053875084,6469.6275474201,6465.86851519002,608.716207877179,636.832656078863,0.976470588235294,0.823529411764706
1989,"hindcast",579.660700342282,21.2462041329945,6659.95993435944,51.6137974521944,618.234442162116,4.65793744301423,6611.4558652989,7.09772394642263,0.908722109533469,0.851926977687627,0.799188640973631,0.841784989858012,0.862068965517241,0.880324543610548,6.02771795090278,5.71820642952447,6482.70990201693,6477.10838948999,585.474599842123,621.601003948974,0.996742671009772,0.879478827361563
1990,"hindcast",591.403314107005,23.4062895551351,6627.945449412,38.9944604513104,623.910335671741,5.84529985649661,6602.32670726413,5.93128195529616,0.839756592292089,0.795131845841785,0.758620689655172,0.78498985801217,0.809330628803245,0.829614604462475,3.78554292408163,3.81823560347782,6463.59359399816,6463.98415696104,609.279682245676,646.501460276751,0.990963855421687,0.83433734939759
1991,"hindcast",604.013242686031,25.4166378268723,6602.00151408642,29.5783828851406,631.183005671076,5.80925590370036,6590.66349069172,6.59216818944891,0.760649087221095,0.766734279918864,0.734279918864097,0.756085192697769,0.778904665314402,0.801217038539554,2.72732572809398,2.92350518755605,6456.12812112644,6455.87859536884,619.757367255568,650.225142115031,0.926984126984127,0.819047619047619
