"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1982,697.112881454994,6491.49151345311,655.904556741972,6455.76488286177,0.944262295081967
1983,697.395241962892,6528.40824871853,601.010192123893,6501.46399787573,0.953389830508475
1984,706.887688134026,6469.60789342976,628.530015398931,6463.6069715267,0.876447876447876
1985,687.66964363369,6432.74277493521,670.33656122618,6451.86972951082,0.935779816513762
1986,708.463116346176,6413.27791145112,675.819094909982,6445.2320326656,0.969325153374233
1987,714.15483869873,6439.25345854004,676.786235985227,6454.49433265665,0.9375
1988,672.31693113392,6419.85280767807,643.407557713709,6452.60727736273,0.817647058823529
1989,588.120195457621,6453.12275597103,575.626931136165,6475.41547707234,0.703583061889251
1990,638.3045837155,6435.98123360781,666.426005428969,6463.30159657016,0.840361445783133
1991,785.781366265969,6409.68580105682,657.147941492673,6471.74416084376,0.86031746031746
1992,768.214717835289,6417.29500269316,656.490925964402,6450.81793366447,0.911042944785276
1993,762.273888137203,6430.65499508868,651.36354677675,6468.99014985276,0.916184971098266
1994,705.915709384333,6468.61030510958,650.22697531344,6471.13391176386,0.933908045977011
1995,691.530592426805,6444.9288980619,661.38375993953,6457.72807248041,0.870689655172414
1996,714.138500377735,6458.32704632104,639.927707982766,6478.62818743476,0.899135446685879
1997,648.56384885396,6482.71185458677,652.984953840028,6476.45547514282,0.922413793103448
1998,727.514002060919,6484.79197364015,650.315857213312,6481.12752856864,0.902298850574713
1999,627.968187619788,6450.14428819252,634.340861143606,6467.41546512883,0.85672514619883
2000,603.923387200395,6504.90821419679,646.314039639879,6465.16972398086,0.91304347826087
2001,674.543003903757,6477.0890356548,666.834677975706,6470.72624742777,0.922190201729107
2002,604.189071317862,6518.07731268612,646.500044496207,6476.75490956757,0.931034482758621
2003,624.180424130821,6525.66757409548,636.976505926159,6475.75037022034,0.942528735632184
2004,647.283128486495,6501.32101867121,655.970986233834,6472.86985211339,0.910404624277457
2005,608.017063445416,6525.70715223837,657.410159660827,6478.54171224492,0.904069767441861
2006,540.525692127182,6500.15908892052,651.937433282323,6463.39335975478,0.882521489971347
2007,598.047524093154,6496.20338506009,650.262993063054,6481.19840877336,0.934097421203438
2008,647.723263230693,6477.00820485946,669.41088226572,6451.70634355961,0.861271676300578
2009,685.973263082779,6383.24336657439,650.28782605926,6470.97668196115,0.951008645533141
2010,732.133954926701,6406.30803657481,649.200973201412,6514.10268100221,0.717791411042945
2011,725.023990238121,6427.08310313871,648.438783039626,6471.44045806072,0.96551724137931
2012,802.790643384959,6475.35746110025,668.052449450326,6458.80765519136,0.916666666666667
2013,766.207088085352,6445.33880757597,664.429026979398,6457.38434654389,0.927745664739884
2014,765.475203635587,6505.87636740932,660.204492687238,6473.08999636607,0.951149425287356
2015,796.419025909753,6486.51338366837,648.380877929144,6472.32094807041,0.925501432664756
2016,690.630653649216,6521.86858975442,655.794942364006,6473.28406681973,0.968481375358166
2017,702.215905373573,6643.72345340438,632.890360405166,6591.92222809545,0.887525562372188
2018,716.899716819936,6503.32481146496,677.946656307403,6479.66212476826,0.833810888252149
2019,673.684767435447,6662.8479905611,631.261658637516,6609.60580674998,0.855983772819473
