"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1982,805.467057647746,6358.02221113263,776.847537056524,6403.2313092634,0.455974842767296
1983,809.21210216438,6394.81633434278,787.977753820217,6410.96697334236,0.422018348623853
1984,843.543559103248,6371.55527109491,778.397991750257,6386.58231169562,0.504559270516717
1985,757.095311064256,6383.0307258903,772.149140921994,6404.17746200195,0.421212121212121
1986,740.460143018877,6346.49013148115,766.004804484219,6389.74894100865,0.51840490797546
1987,708.766347587086,6355.32083614284,743.009450209643,6383.10059973331,0.512048192771084
1988,694.841581535448,6369.01063268589,727.021530927294,6395.54481234838,0.439306358381503
1989,688.231593280267,6379.61829803763,735.660195832171,6403.59777646306,0.46685878962536
1990,708.18015925852,6378.00797194585,752.643151726413,6399.87398073042,0.443478260869565
1991,757.933777230931,6392.12857694219,789.383599865752,6397.10871554372,0.431884057971014
1992,727.56904768572,6352.9678600133,734.860139637665,6403.59183456038,0.544072948328267
1993,724.06598002292,6424.67662940674,721.305625008992,6419.29908545051,0.630372492836676
1994,738.326147870801,6393.60349023143,710.252072513334,6421.86120204402,0.737142857142857
1995,709.411731183094,6396.05467266314,733.466619565395,6405.63203766141,0.653295128939828
1996,663.576049993947,6403.20844504238,706.212436132325,6429.56090039091,0.652298850574713
1997,716.316359740279,6362.93395539786,718.306385253602,6413.99458220334,0.607449856733524
1998,649.728717266716,6383.35867098588,711.772115981101,6416.28010941518,0.638968481375358
1999,637.571726142855,6384.34166544118,676.363722687257,6409.52075769463,0.569364161849711
2000,640.444166620493,6406.49646170173,711.26096072932,6422.63170600454,0.630057803468208
2001,675.551066204743,6422.9482680345,716.586814073934,6430.20308879373,0.651474530831099
2002,673.284506027275,6423.53267667891,721.480067779203,6424.71455661599,0.580459770114943
2003,634.986833422951,6451.79355223513,694.631332531412,6440.63976855182,0.63323782234957
2004,660.141683311208,6448.80623997207,695.137231163373,6437.99838562026,0.620689655172414
2005,681.98980707576,6434.88597455447,714.508360726299,6438.06293236932,0.629333333333333
2006,675.807538118564,6402.69033168287,686.696232983229,6426.36167513338,0.685185185185185
2007,712.249544622386,6424.58640646518,702.823574494397,6428.0650260492,0.713467048710602
2008,732.03757197191,6422.71277024273,723.413065099221,6419.74849804754,0.698275862068966
2009,711.666491868661,6379.22190511655,691.799256222266,6423.60737357621,0.707736389684814
2010,748.672662973364,6481.80117004385,717.218321213334,6473.21706181748,0.577551020408163
2011,780.129198892728,6431.24320885063,730.794076148376,6426.41108338293,0.727793696275072
2012,781.0349091333,6412.58559444144,710.034542556532,6423.13291955306,0.727793696275072
2013,789.761287465797,6432.76792335969,732.33063916729,6417.2462690048,0.710601719197708
2014,775.266199257617,6440.94185794633,724.396322364069,6420.98512543783,0.736389684813754
2015,707.35884638471,6428.26296068603,703.015304166198,6420.5634181658,0.724928366762178
2016,714.250666120167,6438.41455393355,716.443841054925,6428.70823024138,0.716332378223496
2017,727.161066018122,6502.01167914592,719.884112010234,6497.73610767408,0.550813008130081
2018,729.631412898829,6425.305806859,726.458947631008,6430.23891691557,0.64756446991404
2019,723.728436105573,6540.0933221922,706.795232746582,6494.37148401787,0.486815415821501
