"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.390772026478719,11961.6356805815,0.858137229680874,0.372594795071132,0.317583170067369,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.39113392623332,11910.7405440673,0.859995247765169,0.375826090557804,0.320564673323241,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(PC1, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.391288508780963,11948.6909327758,0.858587765599873,0.373743217370793,0.318442966352609,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.391475379259403,11902.864960056,0.860218308879549,0.376525958204249,0.321225642310439,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC1, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.391688016603468,11944.6349131962,0.858813033559372,0.373759259328419,0.31887567025334,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.391724918861598,11940.2343876177,0.859486412333344,0.373724566433939,0.319127717822133,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.391728278992576,12037.3454841788,0.856092405794875,0.367823725229325,0.312947764047109,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.391751812055638,11986.9064327875,0.857559181765852,0.371685531378221,0.316160233456003,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_0C)",0.391814738624019,11939.3794112607,0.859564330941792,0.374045726466771,0.319297393304128,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.391849862130094,12011.2153651697,0.85684510973792,0.369439738056893,0.314756445468955,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.391936601078328,11938.5925865615,0.859041648163119,0.374452008851895,0.319347389786444,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.392054190590471,11899.4235331596,0.860280318802301,0.376550531795603,0.321516424303039,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.392162250961466,11895.272829901,0.86045448980942,0.376543887739294,0.321736069653461,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.392307397738091,11947.9459129182,0.85928685048183,0.373739439446514,0.318629344885689,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.39240298967229,11963.4509611539,0.858976558357618,0.372603891991281,0.317513828452681,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.392411578691802,11895.8888472658,0.860494455532022,0.376726016881182,0.32182030483012,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC1, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.392458902828468,11977.917085279,0.85827051342567,0.371786293114697,0.316974424084032,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(PC1, k = 4)",0.392531208735987,12490.239388522,0.838313576491774,0.343292378304353,0.281836975637424,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.39254417766752,11996.551778918,0.857658223034729,0.370581105849084,0.315596161594162,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_0C)",0.392630201133524,11971.0719230212,0.858470899812724,0.372550852304035,0.317477453210192,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4)",0.392815801783233,12515.9773900324,0.837471337689597,0.341278551197972,0.28003530384298,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.392868518574684,11884.411103385,0.86082383322886,0.377390539189502,0.322710502231458,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.392879894798068,11980.1850311453,0.85783258805021,0.3720812799537,0.316859390502187,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.392914258037307,11892.9525816653,0.860522319983036,0.37713597770418,0.321994791481629,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4)",0.39291512241411,12475.3510186556,0.839087621354656,0.343592408426223,0.282965490721059,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.39297816023229,12013.5963035662,0.857058106668514,0.37028336649043,0.314610568491514,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.393014238445624,11997.2516017084,0.858149403705599,0.370374786197815,0.315249832846659,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC1, k = 4) + s(PC2, k = 4)",0.393068212999272,12510.5479846089,0.838057436951647,0.340531864777368,0.280607089120516,TRUE
"Pacific halibut","binomial","present ~ s(phi, k = 4) + s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.393084859825721,12046.0252815556,0.85607213192103,0.366673092023628,0.312383670043901,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC1, k = 4)",0.393140716005652,12555.0422478924,0.836421922207691,0.338496233234117,0.277789516303693,TRUE
"Pacific halibut","binomial","present ~ s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4) + s(X,      Y, k = 50, by = cold_pool_0C)",0.393191551299146,12015.2327309801,0.857338036484048,0.369089088697677,0.314493041937544,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1, k = 4)",0.393238456136575,12487.5290113882,0.8384938587623,0.343634138075046,0.282294561956805,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(pH_bottom5m, k = 4) + s(phi,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.393241432231571,11920.2533668194,0.859944660084739,0.375776727676853,0.320802663943838,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(PC2, k = 4)",0.393273630039905,12494.1939519457,0.838505353757758,0.342119725167852,0.281599837119728,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(PC1, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.393317929603062,11977.8013924852,0.858138466484182,0.372149241585941,0.316780207192217,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.393358176789044,11998.9778751376,0.858200937176794,0.37043424162344,0.315330198265518,TRUE
"Pacific halibut","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1,      k = 4) + s(PC2, k = 4)",0.393366452896141,12590.0895791174,0.834549717261913,0.33810359514727,0.276063601506398,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(pH_bottom5m, k = 4) + s(phi,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.393415094136851,11877.390255912,0.860943124120536,0.378566639778447,0.323328843335677,TRUE
"Pacific halibut","binomial","present ~ s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4) + s(X,      Y, k = 50, by = cold_pool_2C)",0.393479263999432,12001.5379774284,0.857437271761287,0.369626118812797,0.315302242737916,TRUE
"Pacific halibut","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.393531384778276,12012.8071501987,0.85747815902361,0.369634143614369,0.314884589983024,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.393552488282634,12019.3119178553,0.857669439143166,0.368939109306259,0.313947750176978,TRUE
"Pacific halibut","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1,      k = 4)",0.39355542553472,12617.1787654637,0.833621702512622,0.336227798181106,0.274197050074437,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.393564610636614,11971.4819310321,0.858689401730593,0.37221242322921,0.317050894049585,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(PC2, k = 4)",0.393576440020874,12464.961796753,0.839513518211662,0.344176899813968,0.283884340014894,TRUE
"Pacific halibut","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1,      k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.393585394092285,12042.9828368268,0.856229448451687,0.367316166614089,0.3128463600285,TRUE
"Pacific halibut","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.393609990620729,11993.771448115,0.857705148807324,0.370491405226822,0.316038056984357,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_0C)",0.393641244457704,11990.3608403911,0.858338901373327,0.370391429919792,0.315897747308567,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(oxygen_bottom5m,      k = 4) + s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.393643502655022,12006.0450374284,0.857359280399704,0.370736436240439,0.315368239613259,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4)",0.393681412392835,12505.1731268756,0.837821256021777,0.342341637134549,0.280990274924942,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC2, k = 4)",0.393739832620731,12474.1735065796,0.839060993706951,0.343477042716618,0.283086860530448,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.39374362900722,11883.7067906976,0.86090691730995,0.377617154016875,0.322869881412471,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4)",0.39374707904706,12486.1509947361,0.838791467589836,0.342201909345889,0.282366582915248,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC1, k = 4)",0.393786787231396,12549.2203281942,0.836824562312285,0.339142298443656,0.27823888091276,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC2, k = 4)",0.393825668281021,12497.1908886888,0.838435243985886,0.341255516026931,0.281419069727979,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(PC2, k = 4)",0.39387043812241,12568.4896990713,0.83578836365005,0.338261094968189,0.277330525630525,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.393899688030307,11937.3043855626,0.859621684663852,0.37412250844773,0.319554321137179,TRUE
"Pacific halibut","binomial","present ~ s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4)",0.393936416365981,12664.5697493757,0.831104153001203,0.333506452110869,0.271426219734244,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(PC2, k = 4)",0.393940479661346,12590.1942799021,0.834971297432862,0.336625720634411,0.276062166893724,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.393956490676581,11969.3233170286,0.858875625507211,0.371716710460754,0.317146101777146,TRUE
"Pacific halibut","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4)",0.393963250309343,12659.516429718,0.832593555197416,0.332430678307045,0.271428706780239,TRUE
"Pacific halibut","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC2,      k = 4)",0.393965046642186,12618.6467092784,0.833854827810788,0.335867628931272,0.274114618135902,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.394026376654112,12019.7378455879,0.857699595317957,0.369046972261721,0.314037945532452,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.394053353049188,12057.2211952883,0.855768969604128,0.366823050376012,0.312105661115472,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.394062828504903,11962.2113156344,0.859175707941364,0.372357083078443,0.317820359808081,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.39412498752014,11987.7263995296,0.858538075208118,0.370820268750632,0.316310133532653,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(X, Y, k = 50, by = cold_pool_0C)",0.394158093374258,12105.1722837302,0.854554064989309,0.363796163898168,0.309034493661924,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.39418662945214,11957.0312550222,0.859123737951353,0.373173406981452,0.318130622301774,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(X, Y, k = 50, by = cold_pool_0C)",0.394199622979,11944.8973399566,0.859396780470032,0.374114586792399,0.3189529498525,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(PC1, k = 4) + s(PC2, k = 4)",0.394203184446186,12564.9004810656,0.835959842791144,0.338748699344154,0.277827748825866,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(pH_bottom5m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) + s(X,      Y, k = 50, by = cold_pool_0C)",0.3942203273399,11936.0856109383,0.859760837161603,0.374412432114294,0.319665077951712,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC2, k = 4)",0.394300032581425,12599.2971872775,0.834691634378825,0.335717797506872,0.275213895558189,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(pH_bottom5m, k = 4) + s(phi,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.3943025358063,11974.8814332716,0.85879203215417,0.371849602911359,0.317113429464003,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(pH_bottom5m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) + s(X,      Y, k = 50, by = cold_pool_2C)",0.394310045309935,11891.0300638465,0.860723433901448,0.37725279970716,0.322276465995983,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.394315476458301,11935.8332079276,0.859707994133963,0.374403965583142,0.319765367573107,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.394358028374834,11970.5612747026,0.858817374496476,0.372508644900405,0.317345841611901,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(pH_bottom5m, k = 4) + s(phi,      k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.394361859731617,11889.0440580857,0.860450706646358,0.377958831851368,0.322266070552343,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4)",0.394381295597027,12588.7048877668,0.83570394576147,0.335892434648451,0.275623153650513,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(pH_bottom5m, k = 4) + s(phi,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.394381439580435,11948.5407786756,0.859447756167186,0.373548362120002,0.318667223095036,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(PC1, k = 4)",0.394385199973138,12614.6854967193,0.834001667889889,0.336212190047674,0.27460527784763,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(pH_bottom5m,      k = 4) + s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.39440838646394,11949.8159810437,0.859502005755452,0.373569999240113,0.318721444448593,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.394409388706197,11944.1283761076,0.859524583478597,0.373757036445639,0.318969900978792,TRUE
"Pacific halibut","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.394528480237646,12086.9568518555,0.855850792630864,0.367257201405367,0.310077871415951,TRUE
"Pacific halibut","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4)",0.394600686169317,12629.2262098765,0.833499598499695,0.334772239104177,0.273498607863304,TRUE
"Pacific halibut","binomial","present ~ s(pH_bottom5m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.394611932820626,12007.6358481409,0.857578218836388,0.369896874349373,0.31521551551444,TRUE
"Pacific halibut","binomial","present ~ s(phi, k = 4) + s(PC1, k = 4)",0.394697919877157,12708.0869362916,0.8300365249843,0.330676125882206,0.268632037975137,TRUE
"Pacific halibut","binomial","present ~ s(phi, k = 4) + s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.3947749136004,12053.315729303,0.856159362930861,0.366539797693253,0.311980048208607,TRUE
