"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C,      m = c(-3, 100))",0.300491727597547,6706.82622991823,0.964237428742653,0.696295015856748,0.647802327242285,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C,      m = c(-3, 100))",0.300778314984238,6785.03921841001,0.962925275610447,0.69253809276344,0.642197253342486,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.301328115384802,6592.84992784924,0.965192633522201,0.701336791104288,0.652678660158875,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.302217544042556,6687.94211260222,0.963656279394417,0.695757454074712,0.646700262988594,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C,      m = c(-3, 100))",0.303255016888921,6678.1343681458,0.964663609397959,0.698302524437122,0.649952066285547,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.303470452072034,6570.53613151375,0.965502503909057,0.70276665736256,0.65424679110379,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.303596524465848,6646.90921166061,0.964258913089475,0.698340220241115,0.649407117103401,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C,      m = c(-3, 100))",0.303904229163103,6756.24568308717,0.963457448687809,0.694663893413159,0.644418600734903,TRUE
"arrowtooth flounder","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(pH_bottom5m) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C, m = c(-3,          100))",0.304970087619525,7041.44641536183,0.960793255683872,0.678635696174964,0.629062811393844,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C,      m = c(-3, 100))",0.305182905877445,6653.39265761829,0.965038602815307,0.698685316951521,0.651548120656391,TRUE
"arrowtooth flounder","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(pH_bottom5m) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,          100))",0.30536077744841,6830.64371520997,0.962960003426776,0.689659366434835,0.639850405335113,TRUE
"arrowtooth flounder","binomial","present ~ s(depth_m) + s(pH_bottom5m) + s(X, Y, k = 100, bs = ""gp"",      by = cold_pool_0C, m = c(-3, 100))",0.305758325930395,7045.68541782837,0.960610080410863,0.678128544460529,0.628539777330403,TRUE
"arrowtooth flounder","binomial","present ~ s(oxygen_bottom5m) + s(pH_bottom5m) + s(X, Y, k = 100,      bs = ""gp"", by = cold_pool_0C, m = c(-3, 100))",0.306012533003436,7141.05343026237,0.959268157388518,0.673025494484593,0.623746640575796,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(pH_bottom5m) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C, m = c(-3,          100))",0.30607828568258,6918.61177646251,0.961446920285882,0.683865481500484,0.634779997601893,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.306162102559468,6539.79779992781,0.96609064348656,0.703912758544064,0.656840094781229,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC1) + s(PC2) + s(X, Y, k = 100, bs = ""gp"",      by = cold_pool_0C, m = c(-3, 100))",0.306590309337609,6611.56989239304,0.965579910090019,0.701519023380242,0.654375150815596,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C,      m = c(-3, 100))",0.306876211107156,6689.83834254972,0.964371292749774,0.696606076672809,0.648736905762883,TRUE
"arrowtooth flounder","binomial","present ~ s(pH_bottom5m) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C,      m = c(-3, 100))",0.306950418989218,7147.87736877613,0.958847716314431,0.672357376697707,0.622498417161492,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(pH_bottom5m) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_0C, m = c(-3,          100))",0.307116560758567,6998.89622302165,0.960089475827944,0.679974513465612,0.629504586571271,TRUE
