"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1982,626.483619647,6287.12486100649,577.271285949979,6359.17429294137,0.415094339622642
1983,647.56121748625,6282.32105834374,623.998125859017,6346.45341260931,0.443425076452599
1984,586.464116357834,6313.77182334177,564.197131396685,6365.9314815625,0.404255319148936
1985,584.28471039232,6305.72274929077,597.371361746041,6348.02366551238,0.409090909090909
1986,551.875722414884,6325.18022609696,569.858843780788,6358.90606554513,0.371165644171779
1987,590.109783308913,6325.22819331454,605.60985058008,6375.91981697092,0.5
1988,597.774955488901,6302.85010855339,593.862473546539,6360.57113363224,0.407514450867052
1989,550.580652037641,6349.74879774497,552.087528978113,6405.49296804656,0.507204610951009
1990,535.225787128502,6340.78467759834,575.683421620888,6364.51462723319,0.397101449275362
1991,605.35858569013,6304.8222262166,636.852599145205,6335.14861883437,0.359420289855072
1992,611.107003788152,6289.82054629575,569.312083443264,6349.68155080919,0.340425531914894
1993,575.39677022607,6335.4066393557,598.743547761862,6372.13982640275,0.469914040114613
1994,631.65845679369,6293.74183348986,653.66319324489,6325.28846705191,0.362857142857143
1995,671.045417782972,6264.87975687288,607.75263120796,6330.01272171077,0.312320916905444
1996,628.605372270957,6297.27832810702,583.377534640338,6377.01632479887,0.451149425287356
1997,608.261655830864,6285.52791210834,530.489229433499,6372.13272231575,0.358166189111748
1998,564.355456454175,6330.58186382786,550.633142127045,6383.64118221797,0.40974212034384
1999,672.063505974265,6258.23685944394,569.148224015825,6318.5616676317,0.263005780346821
2000,536.064367549807,6312.82331884037,591.094891900058,6343.99925835175,0.38728323699422
2001,568.320463968544,6333.82910178325,589.86002283417,6366.77548714977,0.404825737265416
2002,523.956938509008,6348.44256054116,547.771443812522,6382.90462753773,0.431034482758621
2003,525.388531449884,6393.02245968317,596.675426489398,6399.97256683762,0.584527220630373
2004,599.876220223745,6347.78682834081,605.725236062319,6394.98312214348,0.574712643678161
2005,602.372666871692,6358.2438861732,621.354675699498,6411.80538185674,0.616
2006,623.842045540326,6313.03556115461,587.35769372433,6374.12405123202,0.420634920634921
2007,589.516549435981,6325.75044159183,588.542581212226,6364.02948916728,0.406876790830946
2008,585.638720522973,6323.66457193161,559.801920947667,6377.20753304097,0.425287356321839
2009,555.94530614425,6314.86706403065,548.95568841601,6378.4558006033,0.363896848137536
2010,538.75878129721,6363.76571968658,545.67118892987,6397.98338035646,0.293877551020408
2011,557.391723127326,6357.58404325175,606.184782608578,6390.33478072777,0.541547277936963
2012,531.204668012732,6336.40214676421,534.460856914658,6383.72601210244,0.372492836676218
2013,559.843795854526,6328.35789855549,556.781084150042,6383.29311608976,0.40974212034384
2014,523.006080065634,6373.43774666477,599.180100159589,6387.2624134746,0.518624641833811
2015,517.375952116638,6380.60179524637,624.042410376948,6373.55784489444,0.518624641833811
2016,528.619152085709,6419.1115635257,621.430494207215,6419.2698466537,0.716332378223496
2017,550.939313981251,6388.63851994947,573.028780507181,6412.93200786992,0.394308943089431
2018,604.398811823439,6391.94304763707,606.558226851874,6457.65299653563,0.845272206303725
2019,623.446745669899,6368.79826517452,581.627142704131,6451.59714925681,0.531440162271805
