"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.309865128865393,7247.15416407945,0.954290387963367,0.648344042460402,0.6035690270735,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.310254287308301,7303.31205491665,0.95380749800148,0.647268647155075,0.600150200116683,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi, k = 3) +      s(X, Y, k = 20, by = cold_pool_0C)",0.310638230423928,7202.68352847236,0.954912012651767,0.651132473894865,0.606221416966105,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.310639031065626,7486.44397330404,0.951832074336801,0.639114966091332,0.590159925148706,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.310650048056701,7197.55155721569,0.954920548066756,0.650959997569779,0.606251321779211,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi, k = 3) +      s(X, Y, k = 20, by = cold_pool_2C)",0.310692165514665,7150.4662882594,0.955554907411744,0.65392923047543,0.609038817696691,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.310867410174457,7259.41147153175,0.954406140970914,0.650218878354333,0.602789990060481,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(X,      Y, k = 20, by = cold_pool_2C)",0.310888586279883,7369.55390461256,0.953121812056735,0.644130553322668,0.59611411434219,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.311092167331114,7285.36159918075,0.954014995309173,0.647116947776053,0.600972299378236,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.311568232567709,7329.93149766542,0.953694940069063,0.646740260776637,0.598519479245848,TRUE
"arrowtooth flounder","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.311743989055727,7357.68326205616,0.952735869803062,0.6424031978611,0.597439791871339,TRUE
