"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1982,707.187470829838,6234.14622257623,664.872688181705,6261.36255353746,0.180616740088106
1983,644.223563127887,6272.88392861997,591.105207600247,6305.55490772465,0.298449612403101
1984,630.893990233965,6280.47333618836,515.562245242898,6350.32296979933,0.293040293040293
1985,574.195362462228,6303.66903808351,544.627628289726,6352.64950656881,0.336769759450172
1986,604.570958072488,6289.65336775374,565.463023162175,6359.67344548419,0.386792452830189
1987,636.847921502541,6293.02053309597,602.69838901007,6350.80697682384,0.439446366782007
1988,631.527135193337,6278.39620734382,616.922008195186,6333.36219562405,0.367213114754098
1989,596.120055035243,6322.12762538005,547.605808589352,6386.20415852469,0.474842767295597
1990,608.158871737422,6295.08570447388,608.979955323574,6348.83831353356,0.393846153846154
1991,722.490609742756,6239.71257096217,646.491815692651,6323.69964438893,0.366666666666667
1992,687.472046578535,6244.08288815629,593.262130501341,6331.42858764149,0.325077399380805
1993,688.679612251297,6277.63591686527,622.368873591919,6358.67475016909,0.458452722063037
1994,685.251207350924,6258.68384336527,668.856658657116,6313.91584228943,0.355300859598854
1995,726.106480687294,6231.42549105802,609.478339988651,6316.83625332445,0.289398280802292
1996,711.697600035847,6225.71271336491,568.452127615858,6368.69925375445,0.38728323699422
1997,666.324574771378,6234.00495644916,550.505834202149,6357.36871883643,0.333333333333333
1998,668.443082528725,6253.02038419957,575.151188998215,6359.29435782123,0.395953757225434
1999,709.857019565852,6230.81328216794,608.645296354345,6312.98389108605,0.303468208092486
2000,622.78283790879,6271.40933728046,583.720305236952,6350.45050680639,0.391304347826087
2001,670.233146967756,6265.53954608003,617.981928730154,6359.55125036305,0.431635388739946
2002,676.776782591392,6258.00244132246,606.508538762794,6364.23154770117,0.460869565217391
2003,648.854402242266,6328.57479857235,617.256699353845,6402.64800268296,0.635838150289017
2004,691.054859654245,6305.21952348652,617.229499454648,6398.2933078976,0.628242074927954
2005,697.232115362599,6313.16652378543,619.69107141416,6417.89984474046,0.641711229946524
2006,690.599679540708,6269.83757166295,602.913370866397,6374.69077022603,0.44973544973545
2007,638.796950714295,6285.39065688751,619.561765929949,6364.44438272536,0.449856733524355
2008,635.125951112432,6290.05795955425,571.245420705848,6383.59848972355,0.463976945244957
2009,611.527989087233,6276.11765683131,578.36262656788,6371.93750328864,0.380403458213256
2010,604.629277985848,6314.63859974047,551.253345194723,6394.62327599763,0.301229508196721
2011,643.744035651886,6298.08963518103,605.997205543046,6387.66964310716,0.528735632183908
2012,579.218722183285,6308.3136348291,534.679268120885,6381.28262659978,0.363896848137536
2013,632.827357348007,6282.16200861811,539.243661761588,6385.91388624004,0.390804597701149
2014,617.142015717473,6304.46419978139,610.344112077234,6375.32331864446,0.497126436781609
2015,624.216345983141,6314.98984488483,637.463634346655,6362.60155636978,0.501432664756447
2016,611.893246099265,6385.77175845078,625.805333285022,6416.90832905775,0.718390804597701
2017,630.706488867922,6349.72676141442,577.020727741293,6407.74207406843,0.382892057026477
2018,646.033026537635,6375.30179298096,601.754609332976,6456.29653726568,0.832853025936599
2019,678.504867958299,6304.13011963586,589.284594606281,6443.94351797818,0.523326572008114
