"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1996,812.179788237758,6458.22039254763,647.3589423729,6483.92108241541,0.942528735632184
1997,834.426204918015,6465.89921945082,646.836885621835,6487.22469013384,0.939828080229226
1998,834.942305921716,6474.74405139993,646.454897090443,6481.87264168156,0.962750716332378
1999,895.638378380435,6411.40160387843,653.257669008041,6477.89237131768,0.872832369942196
2000,890.354640254063,6482.27593228597,647.092040089289,6492.512414359,0.904624277456647
2001,838.112258595901,6501.17899652892,640.667975970921,6510.83079190066,0.906166219839142
2002,851.499934951427,6481.45429388365,657.274565313055,6486.19958780596,0.902298850574713
2003,855.923910694479,6460.50004606218,669.694673426687,6486.54957047582,0.862464183381089
2004,877.689408056489,6458.28727495071,660.875062741013,6487.05343721481,0.89367816091954
2005,862.623445328016,6444.44748765978,651.852888440402,6506.28645723827,0.872
2006,873.703678095073,6427.44101386046,676.346625784423,6476.89982026266,0.783068783068783
2007,868.649861183298,6435.34101795927,665.618227914255,6486.20067255668,0.859598853868195
2008,830.028387840248,6426.16239015833,684.841429260483,6472.97257745902,0.813218390804598
2009,865.797117259048,6388.80775365513,683.747099417471,6476.90899771391,0.819484240687679
2010,884.248821119753,6403.77603383051,693.849200663139,6564.24487522369,0.679591836734694
2011,927.048997605391,6418.47101749479,688.665627563037,6475.46988285902,0.822349570200573
2012,879.092274032992,6398.71402656436,701.81643651614,6461.2445606296,0.756446991404012
2013,920.059269038444,6420.23201641442,681.020144578794,6470.00713998653,0.828080229226361
2014,903.943811344808,6430.2919082999,734.51972725036,6453.96837173226,0.73352435530086
2015,942.265661210677,6433.32125454878,714.795337208711,6461.71044387932,0.747851002865329
2016,924.350022655643,6446.3700993688,687.904950638138,6484.02619647609,0.813753581661891
2017,921.374602221671,6464.56954774996,667.279924189017,6599.58894846968,0.770325203252033
2018,921.518590387532,6448.887647086,669.019559360343,6481.83109366875,0.891117478510029
2019,893.32939879359,6480.38426876241,651.845819559098,6610.90837316269,0.823529411764706
