"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi, k = 3) +      s(X, Y, k = 20, by = cold_pool_0C)",0.332477503753473,6255.73804547576,0.923725557386937,0.555130871481917,0.489831361789208,TRUE
"northern rock sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.334067211777686,6320.69760043026,0.922140628399922,0.550420881403604,0.484466364146335,TRUE
"northern rock sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.334166226428513,6328.25380705836,0.921445771550047,0.549891672971687,0.483768295142606,TRUE
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.334181043588332,6320.93479385517,0.921585063368733,0.55035682609927,0.484257407195694,TRUE
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi, k = 3) +      s(X, Y, k = 20, by = cold_pool_2C)",0.334219617911164,6327.37432511035,0.92149818041986,0.549897672767547,0.484010541842688,TRUE
"northern rock sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.335501637963485,6365.43957543762,0.920542157870608,0.54643294798561,0.480433844434015,TRUE
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.33567828464695,6378.87544868579,0.919754474265126,0.546424509402914,0.479544812266126,TRUE
"northern rock sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.335972700294639,6393.32236319368,0.919369108847641,0.544992671027321,0.478144681852155,TRUE
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.335988070592285,6387.20947499753,0.919445603056047,0.545138306531954,0.478427898677151,TRUE
"northern rock sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.336023745795204,6394.76944195939,0.919156475622381,0.544507406452885,0.47787396834671,TRUE
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.3360403239615,6396.07440344708,0.919194671041308,0.544546199552007,0.477935758461048,TRUE
"northern rock sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(depth_m, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.336195036850376,6450.98651198132,0.918356180809567,0.543364230490169,0.47327561554149,TRUE
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(X, Y, k = 20,      by = cold_pool_2C)",0.336272255701413,6459.73736599315,0.917975156955262,0.542112515754241,0.472804800106636,TRUE
"northern rock sole","binomial","present ~ s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20,      by = cold_pool_0C)",0.336879782484951,6416.25156672846,0.918757594505235,0.542450838229344,0.475944657990157,TRUE
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.337087469944565,6435.38780474075,0.917689854232016,0.541634718463836,0.474716683510325,TRUE
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(X, Y, k = 20,      by = cold_pool_0C)",0.337322864016729,6493.60909825917,0.918176005937605,0.541110938718749,0.47005911712338,TRUE
"northern rock sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.337352937403644,6449.01477656899,0.917111030826649,0.540148884467061,0.473263980275697,TRUE
"northern rock sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.337413365824448,6443.33394909048,0.917434994136305,0.540681153000459,0.473817528141713,TRUE
"northern rock sole","binomial","present ~ s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20,      by = cold_pool_2C)",0.337508878479784,6447.13534626235,0.917097179172695,0.540185998641803,0.473253588938632,TRUE
