"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1996,852.145245658763,6441.33144676302,650.684008036073,6489.34837251104,0.919075144508671
1997,892.592484693861,6434.33428708725,652.536877359446,6488.57349892477,0.91304347826087
1998,882.456165893957,6445.91628816446,646.379971326538,6489.17976395137,0.931034482758621
1999,932.597148125071,6381.95042453845,657.742242794001,6479.5067169473,0.863768115942029
2000,913.80927541137,6443.8926136828,654.542778022492,6493.80410816354,0.87536231884058
2001,896.243454922124,6452.96159799683,664.32116821203,6489.79998436464,0.87536231884058
2002,934.194423607602,6432.62037154762,686.711569686156,6484.74010396772,0.818443804034582
2003,963.950653858123,6415.02218661367,709.414564809029,6477.26276393129,0.765895953757225
2004,942.88905289385,6408.14134840722,685.75345136724,6483.69706928428,0.824712643678161
2005,918.964838704898,6410.50432915984,694.498619277799,6485.98510140039,0.803468208092486
2006,937.616081020064,6417.53454847295,721.465807111325,6462.71355333096,0.746397694524496
2007,933.067798060643,6408.78785429489,699.102338384668,6480.29480106987,0.793103448275862
2008,906.571826715374,6403.52284965995,705.656421207384,6473.19197539571,0.755102040816326
2009,944.979313125684,6373.63136092449,715.129820134717,6469.25118275137,0.752873563218391
2010,1005.20841433467,6393.86912877057,740.597879113589,6516.03455169012,0.555327868852459
2011,1005.47141846079,6409.58625032901,756.643641453385,6449.93107904006,0.685878962536023
2012,979.939019842978,6373.60455026606,753.974367626445,6446.47758345849,0.64367816091954
2013,1001.94960476572,6400.01061626307,775.542549459687,6440.28544259933,0.628242074927954
2014,1018.93472535731,6397.82531807906,811.228870251842,6441.79029803175,0.57183908045977
2015,1051.24746086109,6389.83184184128,813.302850550362,6441.23665753925,0.555873925501433
2016,1032.74557610689,6400.14012910898,779.587577787906,6464.37733048469,0.601156069364162
2017,1000.62413920478,6419.40468087773,734.089033677599,6539.59176538748,0.602536997885835
2018,935.644959731833,6427.98443387747,724.207560978844,6466.10386527202,0.752873563218391
2019,913.232178672207,6461.23701275138,686.088533258297,6615.40673468073,0.745417515274949
