"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.28854368764585,6492.80935771405,0.954002521676187,0.599060336707081,0.579232107037493,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.288774724512451,6455.27443360135,0.954168616297012,0.599388228312743,0.581830268669696,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.288864304711689,6526.88314717326,0.953595384478675,0.597018836939033,0.576721712959567,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.288869192373669,6426.84123270835,0.954547318974798,0.60131094387403,0.583925357392625,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.288908321902786,6488.8532327872,0.954165145145062,0.599713810601179,0.579650083328462,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(X, Y, k = 50,      by = cold_pool_2C)",0.288957745057066,6555.66632801347,0.953017090563743,0.594312301987172,0.574884345339236,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(PC1, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.289091490567107,6488.15256298987,0.954311193863374,0.600251481709362,0.5800328239848,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.289158042992845,6419.08364462195,0.954786394565379,0.602234032561527,0.584590790618845,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.289228065870715,6448.46609557166,0.954485445691282,0.600563404636721,0.582529526425515,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(PC1, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.289361283791936,6521.01750742331,0.953901713638295,0.598210645678401,0.577384793471215,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(PC1, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.289370858477708,6541.42885817439,0.95335648244569,0.595654826977449,0.576091111327584,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.289467608431378,6490.44272797294,0.954104515690995,0.599519669616172,0.579675070992777,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.289468504506251,6521.54986551438,0.953725726234411,0.597623575734658,0.577368219587038,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.289504912430455,6448.68420954663,0.954340901138816,0.600131779477306,0.582574286483188,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.289749516590014,6485.7411661859,0.953498307929129,0.596287183181218,0.579842416130573,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.289805774509258,6444.23903329567,0.954620473502152,0.601169648147668,0.58311811363026,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(PC1, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.289811572962898,6518.76635710346,0.953981000534095,0.598551630499164,0.577795140776573,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.289950666998507,6422.68469309728,0.954692991651648,0.601921136986186,0.584509020443326,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.290068830100653,6416.37185945717,0.954967415139591,0.602969094900153,0.585141359403168,TRUE
"red king crab","binomial","present ~ s(X, Y, k = 50, by = cold_pool_2C)",0.290115843451247,6620.56295514382,0.95201783269603,0.589403292994751,0.570332831958992,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.29016256666047,6549.99018942292,0.95322431833518,0.595080779613284,0.575555809122966,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(PC1, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.290223805512649,6535.22179534412,0.953618323007813,0.596640040983225,0.576811341552252,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.29027501936229,6474.12316573601,0.95381837706522,0.597492159344671,0.580850534482618,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(phi, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.290537450393986,6691.53200605798,0.95131770134764,0.587183589751687,0.566561263122193,TRUE
"red king crab","binomial","present ~ s(phi, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.290581730748189,6558.44437335931,0.952405907484081,0.590823670998665,0.574808711803096,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.290604501082191,6716.77500707841,0.950921252405508,0.585048365606462,0.564693294519767,TRUE
"red king crab","binomial","present ~ s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.290779779034788,6613.81152444796,0.952297029017905,0.590392164201128,0.571049603648015,TRUE
"red king crab","binomial","present ~ s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.29080784205608,6604.22870622393,0.952431941123709,0.590955845048115,0.571731910335339,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.290953280234146,6430.67043297579,0.954644829418337,0.601408166606807,0.58413727918539,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.290970186578828,6475.05614824459,0.953768739592329,0.597439792724519,0.580882089679727,TRUE
"red king crab","binomial","present ~ s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.29103326625359,6532.87796205086,0.952905348397207,0.593015115814452,0.576850869076767,TRUE
"red king crab","binomial","present ~ s(PC1, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.291061073182773,6593.59999616055,0.952840351076936,0.592507068333448,0.572723946287851,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.291064270145391,6488.68145033336,0.954147500122647,0.599575358536346,0.579853846850631,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(phi, k = 4) +      s(PC1, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.291081173345391,6461.54479483146,0.954179087605396,0.599025151968442,0.582057226945082,TRUE
"red king crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 5) + s(depth_m, k = 4) +      s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.291090121983987,6411.35622494599,0.955049739293347,0.603176049215724,0.585550891227488,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(X,      Y, k = 50, by = cold_pool_2C)",0.291097315650504,6513.703663777,0.953817798539895,0.598075691493653,0.577950291132898,TRUE
"red king crab","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.291205181918859,6433.18806849313,0.954739591866582,0.601577498605066,0.583864095269876,TRUE
