"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1982,1032.99186093237,6380.70563644689,927.953288494158,6527.30669656199,0.352112676056338
1983,1049.86115749627,6397.11487962027,954.020270185458,6409.84176117622,0.302752293577982
1984,1110.35096519208,6384.75806694755,965.540025428902,6424.1726216849,0.243161094224924
1985,1021.85238289295,6418.77472612594,968.638097909997,6559.76212970415,0.24390243902439
1986,1003.12261628892,6323.62210117492,1021.07817873153,6404.66939742228,0.211009174311927
1987,1031.57595244943,6342.48098076491,989.539849092269,6390.50512402148,0.25
1988,1000.91830728169,6355.95005926467,937.563576959532,6526.6722794552,0.245700245700246
1989,1012.1633671527,6321.24843003419,982.051913131872,6404.79476633505,0.250720461095101
1990,1021.01289461469,6330.19590955981,985.21820638065,6410.85515319088,0.228985507246377
1991,946.818025975033,6369.52717062767,940.281025805124,6540.81078732643,0.224181360201511
1992,1036.51404199732,6361.74165220936,961.653051715675,6402.244073279,0.203647416413374
1993,994.538317253152,6336.84599543962,969.394917652479,6412.19457169362,0.180515759312321
1994,1022.10252875084,6380.68048491341,964.274982301028,6413.08572702062,0.174785100286533
1995,906.192636987407,6352.04324907782,989.070997331456,6412.7449844284,0.177650429799427
1996,1014.10758570628,6361.35311520907,940.475419345639,6429.6407714624,0.201149425287356
1997,1034.61275078471,6353.3910910735,959.392694298832,6401.64857094171,0.212034383954155
1998,1039.89321629334,6350.3310356024,950.371208421668,6409.76977899399,0.220630372492837
1999,940.141118550602,6318.55083127777,949.991378378586,6394.13270583252,0.222543352601156
2000,1019.42146999685,6343.88705370526,969.51695717748,6400.180502199,0.236994219653179
2001,1055.61048280822,6372.64401652914,975.628836716056,6410.13715002682,0.218390804597701
2002,1057.35258770145,6360.87318771623,955.842147100957,6424.73927947364,0.224137931034483
2003,1010.36163921032,6366.05609177506,944.47679625812,6416.54735235458,0.255014326647564
2004,1008.16985673046,6363.30298234217,938.476828554977,6423.86010269767,0.238505747126437
2005,1025.10087652017,6366.07083779002,950.824055152427,6427.74960949218,0.239884393063584
2006,1004.56645559608,6349.94015331026,914.037504249588,6426.32771073198,0.28080229226361
2007,1012.31610669539,6347.81395315929,938.92335616853,6413.82102996239,0.25214899713467
2008,1019.25486173017,6313.66525833597,922.729413620224,6432.05527946439,0.313218390804598
2009,1009.43048659212,6293.36753258679,937.026164219948,6437.70860617942,0.257879656160458
2010,1017.83642501412,6378.39129296491,871.903551172972,6583.92305794868,0.23265306122449
2011,1035.39009446534,6367.08024566236,907.366975095303,6455.98842698396,0.243553008595989
2012,1018.64851568525,6313.24697153686,913.323117985673,6442.55696247023,0.269340974212034
2013,998.778128942126,6323.99175519837,905.640570776692,6447.50130562584,0.269340974212034
2014,973.547103522267,6336.98557270332,945.442329834137,6418.27834303975,0.25214899713467
2015,919.980086887591,6332.07677964865,931.63152995248,6428.3083256013,0.272206303724928
2016,987.51584007382,6348.76083510697,933.625957449266,6402.44588689247,0.263610315186246
2017,992.071130019362,6405.70463219313,874.741018890039,6547.2142826019,0.247967479674797
2018,992.725591302656,6405.82088690028,908.497575512666,6437.06525802238,0.231155778894472
2019,937.9687102862,6450.06243169948,871.562952234393,6550.33056674215,0.219066937119675
