"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"snow crab","binomial","present ~ s(depth_m) + s(pH_bottom5m) + s(PC1) + s(X, Y, k = 100,      bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.295804552067369,6954.19153681489,0.952698715863251,0.630294138793369,0.59387345918636,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.295861808924493,6925.02368596155,0.953018379034549,0.632694354278974,0.595716350207812,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(pH_bottom5m) +      s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,      100))",0.295868152687775,6946.92545178494,0.952790640930328,0.630825921289214,0.594584171077187,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.295998946583523,6917.43481823727,0.953366647987864,0.633625839744044,0.59720160390363,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(pH_bottom5m) + s(X, Y, k = 100, bs = ""gp"",      by = cold_pool_2C, m = c(-3, 100))",0.296459089250348,6978.69198286953,0.952123146912287,0.628420042396046,0.591243634640864,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(pH_bottom5m) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,          100))",0.296696786441152,6962.52924345791,0.952309986479516,0.629558889439167,0.592610842549307,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(pH_bottom5m) +      s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,      100))",0.296721639526961,6949.74574311569,0.952880684716245,0.631055029804674,0.594579077822437,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC1) + s(PC2) + s(X, Y, k = 100, bs = ""gp"",      by = cold_pool_2C, m = c(-3, 100))",0.296960460863597,6902.04099239633,0.953543282249076,0.63494091705472,0.597788280343106,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(pH_bottom5m) +      s(PC1) + s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.297004841370324,6937.47194209524,0.953040877095541,0.631809897462601,0.59541263499379,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(pH_bottom5m) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,          100))",0.297019009668538,6976.20690525046,0.952307228985213,0.628960738577506,0.591805382842311,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.297076692365421,6901.05742005448,0.953516712374068,0.634852123257167,0.597747871080679,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(pH_bottom5m) + s(PC1) + s(PC2) + s(X,      Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.297093823645077,6942.58556687637,0.952991448365893,0.631525657130143,0.594931132372928,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(pH_bottom5m) + s(PC2) + s(X, Y, k = 100,      bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.297424534061156,6958.34505914578,0.952545558960073,0.630067494503388,0.592877914242115,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(pH_bottom5m) +      s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,      100))",0.297610267973808,6947.50308996785,0.952663693108512,0.630793061756332,0.593851264584294,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(pH_bottom5m) +      s(PC1) + s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.297629963176497,6933.66105075763,0.953280624474014,0.632787356623541,0.5960348294746,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(pH_bottom5m) +      s(PC2) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,      100))",0.298002110164239,6952.16616215932,0.952799841168328,0.631044133523831,0.593826451410938,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(PC1) + s(X, Y,      k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.299281071428346,7019.87417308338,0.951417151057909,0.624883463080233,0.589440028519702,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(oxygen_bottom5m) + s(X, Y, k = 100,      bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.299607703492562,7044.10102304854,0.950852689397079,0.623085630489194,0.58685770287055,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,      100))",0.299685731331191,7019.86655629127,0.951415527486497,0.624887690864687,0.58946158824664,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(oxygen_bottom5m) +      s(pH_bottom5m) + s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.299708504344348,7004.44613357976,0.952058487536538,0.628536670231991,0.590792975958555,TRUE
"snow crab","binomial","present ~ s(pH_bottom5m) + s(PC1) + s(X, Y, k = 100, bs = ""gp"",      by = cold_pool_2C, m = c(-3, 100))",0.299793112012015,7040.72342970285,0.951430242713102,0.625051977277022,0.587529576574067,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(oxygen_bottom5m) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,          100))",0.299972869759083,7036.99421607736,0.950756228638439,0.623266533379222,0.587065941018889,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(PC1) +      s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3,          100))",0.300126208414463,7041.80437145442,0.951005743216358,0.622880095500044,0.588135437859678,TRUE
"snow crab","binomial","present ~ s(depth_m) + s(PC1) + s(X, Y, k = 100, bs = ""gp"", by = cold_pool_2C,      m = c(-3, 100))",0.300143589764943,7051.70589146047,0.95081385253807,0.622077905671827,0.587286261783688,TRUE
"snow crab","binomial","present ~ s(oxygen_bottom5m) + s(pH_bottom5m) + s(PC1) + s(X,      Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.300186181059351,7035.51494741791,0.951589352711457,0.625928837784595,0.588331234576668,TRUE
"snow crab","binomial","present ~ s(temp_bottom5m, bs = ""cc"", k = 8) + s(depth_m) + s(X,      Y, k = 100, bs = ""gp"", by = cold_pool_2C, m = c(-3, 100))",0.300332891623432,7050.82094164222,0.950569878719731,0.62212923626268,0.586338408889825,TRUE
