"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(PC2, k = 4) + s(X, Y,      k = 50, by = cold_pool_0C)",0.283683492509075,6465.00057781677,0.869183018521915,0.286948601806457,0.306857228119595,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.283759465401578,6584.09656536686,0.86242796396479,0.274253254379249,0.293070739189472,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(X, Y,      k = 50, by = cold_pool_0C)",0.28396111988941,6461.38452385205,0.872393178067119,0.281812660038003,0.306701219469079,TRUE
"walleye pollock","binomial","present ~ s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.284120829568458,6524.42897099436,0.864587555015588,0.281837774315081,0.299782685390911,TRUE
"walleye pollock","binomial","present ~ s(pH_bottom5m, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.284235088719931,6498.96239265596,0.866796316247937,0.284128408212302,0.302989508566876,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC2,      k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.28433449602379,6372.97751591053,0.876736601412067,0.292783372747904,0.317346922686046,TRUE
"walleye pollock","binomial","present ~ s(X, Y, k = 50, by = cold_pool_0C)",0.28433626771685,6654.16676412995,0.858197150651018,0.26706242250655,0.284725236519453,TRUE
"walleye pollock","binomial","present ~ s(phi, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.284514198943484,6559.51854140683,0.866021971850358,0.27319327032396,0.295348169499339,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(pH_bottom5m, k = 4) +      s(phi, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.28467181899575,6422.1691343221,0.873840775719787,0.288270084005284,0.31170085374088,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(pH_bottom5m, k = 4) +      s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.284677354740957,6343.55727340808,0.878723351824684,0.296158956721815,0.321100452790202,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(pH_bottom5m, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.284678170960667,6455.36991547431,0.87014745323675,0.287991374480269,0.308457276797188,TRUE
"walleye pollock","binomial","present ~ s(pH_bottom5m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_0C)",0.284854576930288,6412.29070805125,0.874937362461031,0.288622641767146,0.312648832666612,TRUE
"walleye pollock","binomial","present ~ s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.284902696543794,6472.31349075757,0.870490498349532,0.284061603764124,0.305880186574539,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(pH_bottom5m, k = 4) +      s(X, Y, k = 50, by = cold_pool_0C)",0.285171903645844,6547.68468352084,0.864423367870897,0.278251497606837,0.29759119497211,TRUE
"walleye pollock","binomial","present ~ s(pH_bottom5m, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.28573474499602,6639.95683049002,0.859843721346048,0.26699651681777,0.286774796889085,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(PC2, k = 4) + s(X, Y,      k = 50, by = cold_pool_2C)",0.28587364927556,6386.77863669707,0.873380650559325,0.290577831902116,0.315214075519531,TRUE
"walleye pollock","binomial","present ~ s(pH_bottom5m, k = 4) + s(phi, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.28600210369293,6543.00970223647,0.868550797726022,0.272877206637167,0.297450490328088,TRUE
"walleye pollock","binomial","present ~ s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.286047813180978,6416.79543296623,0.870946669264625,0.288201306624584,0.311422687121324,TRUE
"walleye pollock","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_0C)",0.286308661773817,6341.99937192719,0.880534166972309,0.292710299483165,0.320716087223918,TRUE
"walleye pollock","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.286479895484217,6381.47893312643,0.879498956996149,0.285762142212894,0.315662686892013,TRUE
"walleye pollock","binomial","present ~ s(phi, k = 4) + s(PC1, k = 4) + s(PC2, k = 4) + s(X,      Y, k = 50, by = cold_pool_0C)",0.286626120228127,6378.09620427312,0.876523014854209,0.293300030304854,0.316329490490462,TRUE
"walleye pollock","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.286686006868742,6302.7429325966,0.881998956996149,0.297417303324506,0.325561116046299,TRUE
"walleye pollock","binomial","present ~ s(pH_bottom5m, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_2C)",0.286852477537453,6401.33718382973,0.872139017513295,0.289826162404373,0.313328787431006,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC2,      k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.28685485909572,6294.63275022389,0.881079680909591,0.295720455831885,0.325865806286101,TRUE
"walleye pollock","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(phi,      k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.287012320623806,6354.97324899397,0.880550155877499,0.288824486125387,0.319109312539862,TRUE
"walleye pollock","binomial","present ~ s(depth_m, k = 4) + s(oxygen_bottom5m, k = 4) + s(PC2,      k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.287164877932472,6355.29549400405,0.87842752842472,0.293212541545889,0.319219639936768,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(pH_bottom5m, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.287175310784041,6387.10772184716,0.87366799238951,0.29061066100967,0.315671935330521,TRUE
"walleye pollock","binomial","present ~ s(phi, k = 4) + s(PC1, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.287219704313463,6472.62848399843,0.8714818104713,0.282997763035911,0.305313892134647,TRUE
"walleye pollock","binomial","present ~ s(depth_m, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50,      by = cold_pool_0C)",0.287339357885558,6385.76194916029,0.876286791674308,0.290144844533338,0.315347425111561,TRUE
"walleye pollock","binomial","present ~ s(oxygen_bottom5m, k = 4) + s(phi, k = 4) + s(PC1,      k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.287468683772849,6423.84269017379,0.874662742985513,0.286332238317723,0.311209861239985,TRUE
"walleye pollock","binomial","present ~ s(phi, k = 4) + s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_2C)",0.287503480614314,6347.6573694496,0.878157149734091,0.290540975884686,0.319469157015406,TRUE
"walleye pollock","binomial","present ~ s(pH_bottom5m, k = 4) + s(phi, k = 4) + s(PC2, k = 4) +      s(X, Y, k = 50, by = cold_pool_2C)",0.287587146676837,6308.37265471548,0.880546316247937,0.294072048325362,0.323941089155131,TRUE
"walleye pollock","binomial","present ~ s(depth_m, k = 4) + s(phi, k = 4) + s(PC1, k = 4) +      s(PC2, k = 4) + s(X, Y, k = 50, by = cold_pool_0C)",0.287667418423332,6305.35381751047,0.881753163396296,0.29812669664079,0.325176485924343,TRUE
