"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3)",0.23217612833879,5141.56559995689,0.975444431493611,0.76608701828191,0.701298575027849,TRUE
"yellowfin sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3)",0.233093094845224,4926.81375337393,0.977942871361339,0.77025111192053,0.713809903799248,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.235382868574044,4271.72339607615,0.98332417665075,0.796604730774624,0.754391827681071,TRUE
"yellowfin sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.235434216757563,4281.77953831184,0.983372311403239,0.79592970967533,0.753591327632713,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.235723906443998,4309.97727791021,0.982875353938159,0.794549932164654,0.751947621755477,TRUE
"yellowfin sole","binomial","present ~ s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20,      by = cold_pool_0C)",0.235779147693199,4322.12924275345,0.982899815256112,0.793859790344866,0.751027574243521,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3)",0.23586259896952,4927.57530054597,0.978001384015707,0.770149875601029,0.713883940763001,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3)",0.235923113910855,5006.31304305328,0.976532892433773,0.765662660714978,0.709169676799484,TRUE
"yellowfin sole","binomial","present ~ s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20,      by = cold_pool_2C)",0.236011441443484,4247.68011739178,0.983350496881139,0.7954281524106,0.755370864434914,TRUE
"yellowfin sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.236192933382364,4221.6997322995,0.983659741122191,0.796902528478295,0.757095621257785,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3)",0.236203587677594,4901.01115161829,0.977605694191029,0.771654849570445,0.715533312403335,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.236365393714334,4216.65729434515,0.983662277121939,0.797510209814916,0.757606195745054,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.236424994222613,4243.45433854869,0.983361453384902,0.795936484612397,0.755825618547828,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(depth_m, k = 3)",0.236477642606726,5211.33537109043,0.974683311491728,0.762424928662914,0.697239984567457,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.236822524518626,4304.89869952783,0.982967610161982,0.794766995916569,0.752362262377154,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3)",0.237036600975833,5138.51914053875,0.975256570541443,0.765979569697503,0.70164688800838,TRUE
"yellowfin sole","binomial","present ~ s(depth_m, k = 3) + s(phi, k = 3)",0.237372201769076,5115.08249422869,0.974690119296875,0.762628536175783,0.702596304890834,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3)",0.237380223844279,4979.80997519843,0.976474589060938,0.768730832249652,0.710935795293592,TRUE
