"species","component","formula","RMSE","AIC","AUC","Rsq","deviance","converged"
"yellowfin sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.248824380244623,4896.3870792558,0.980507684452274,0.780876257601625,0.738952065072914,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.249365072383213,4897.78093245385,0.980520504766726,0.780928119617301,0.739038958984376,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.249425220776558,4886.38714166478,0.980557131078874,0.781173797925524,0.739587870047206,TRUE
"yellowfin sole","binomial","present ~ s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20,      by = cold_pool_2C)",0.249487673202863,4970.29694142002,0.97990104043483,0.777126183849616,0.734703366874662,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(depth_m, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.249579315516123,4914.86073655368,0.980295773495989,0.780239221508457,0.737998047831092,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi, k = 3) +      s(X, Y, k = 20, by = cold_pool_2C)",0.249660571111844,4877.24202629472,0.980662589217231,0.782118806394035,0.74033205521177,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.249855405968946,4969.48093572745,0.979927012623589,0.77718189882444,0.734926148327657,TRUE
"yellowfin sole","binomial","present ~ s(depth_m, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.250081059701953,5015.65546618459,0.979464884495598,0.775427215703574,0.732125801993921,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(X, Y, k = 20,      by = cold_pool_2C)",0.250085227546771,4916.53686439746,0.980300702685856,0.780293776821299,0.73802701254301,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.25012226672024,4960.10907763822,0.980000729431684,0.777773052971466,0.73539960852119,TRUE
"yellowfin sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20,      by = cold_pool_2C)",0.250140268345041,5175.54160285381,0.978277878105334,0.770725605656998,0.723742139574114,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.250181044195158,4955.03833331385,0.980067174026927,0.777906284057434,0.735840521524554,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(depth_m, k = 3) + s(X,      Y, k = 20, by = cold_pool_2C)",0.250215271322369,5002.94375444673,0.979532124834496,0.77565096532076,0.732947297826805,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(depth_m, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.250485189221079,4992.32432195569,0.979675005028658,0.776243425644511,0.733653154513419,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(depth_m, k = 3) + s(X,      Y, k = 20, by = cold_pool_2C)",0.250647685981569,5014.14332881431,0.979511568123393,0.775675057970762,0.732332470999533,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.250778739204408,4936.13797872253,0.980158308779484,0.779290816613515,0.736779359435289,TRUE
"yellowfin sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(X, Y,      k = 20, by = cold_pool_2C)",0.250906332221533,4944.330846696,0.980109282128703,0.779264911286474,0.736214166283698,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.251408896458874,5161.67160935011,0.978457893003424,0.771324790441904,0.724722221754798,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(phi, k = 3) + s(X, Y,      k = 20, by = cold_pool_2C)",0.251576791227639,5232.77187449598,0.977897777885842,0.768179961569489,0.72068691019946,TRUE
"yellowfin sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.251690723418969,5009.57935666141,0.979647795016434,0.776636426677567,0.732814954110938,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.25189758313289,4997.5565353789,0.979750998547768,0.777028502264775,0.73367417968262,TRUE
"yellowfin sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.252322055501398,5312.13204353621,0.977603595877164,0.767723157779978,0.716254666050583,TRUE
"yellowfin sole","binomial","present ~ s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.252817967325194,5312.89483709636,0.977201457979209,0.765371731421549,0.71610981047679,TRUE
"yellowfin sole","binomial","present ~ s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20,      by = cold_pool_0C)",0.252917897624205,5110.22662472138,0.978824553996733,0.771400656977584,0.727132776596677,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.253118124691923,5086.72378073196,0.979051539874494,0.772891529728402,0.728536407523064,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(X, Y, k = 20, by = cold_pool_2C)",0.253382326229354,5283.29507218414,0.97786811433068,0.768863044207776,0.718023636903231,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.253843272890631,5076.43821012296,0.979154257118037,0.773172948138194,0.729270382641055,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.254014593380025,5107.59158617558,0.978864274867542,0.771481784847606,0.727452213532137,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(depth_m, k = 3) + s(phi, k = 3)",0.254309544866989,5665.45073094626,0.973077803835926,0.749101828173967,0.695636607751822,TRUE
"yellowfin sole","binomial","present ~ s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi,      k = 3)",0.254585480879753,5699.3017046621,0.972480509806435,0.747299650666744,0.693703582332952,TRUE
"yellowfin sole","binomial","present ~ s(X, Y, k = 20, by = cold_pool_2C)",0.254755038830128,5456.75833892836,0.976622156597931,0.762309231072284,0.708264668448405,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(X, Y, k = 20, by = cold_pool_2C)",0.254865042639115,5408.73066948951,0.977048984653199,0.763872045868494,0.71102615713949,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(oxygen_bottom5m, k = 3) +      s(pH_bottom5m, k = 3) + s(depth_m, k = 3) + s(phi, k = 3) +      s(X, Y, k = 20, by = cold_pool_0C)",0.255069367326243,4996.22495526664,0.979768858572038,0.777352624363249,0.733860468500947,TRUE
"yellowfin sole","binomial","present ~ s(temp_bottom5m, k = 3) + s(pH_bottom5m, k = 3) + s(depth_m,      k = 3) + s(phi, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.255338003389211,5010.78174389179,0.979656393468713,0.776558401704471,0.732877599617244,TRUE
"yellowfin sole","binomial","present ~ s(oxygen_bottom5m, k = 3) + s(pH_bottom5m, k = 3) +      s(depth_m, k = 3) + s(X, Y, k = 20, by = cold_pool_0C)",0.255497948405621,5060.75509034218,0.979152952982602,0.774201807154257,0.730128763739756,TRUE
