"year","centroid_eastings","centroid_northings","centroid_eastings_occ","centroid_northings_occ","area_occupied"
1982,942.949136353275,6438.20563473137,792.208797187956,6434.94735960452,0.712460063897764
1983,916.747399031376,6440.8144593123,782.518685965813,6453.05667060173,0.719745222929936
1984,886.841855820878,6444.0125397758,771.174969218387,6452.48137697338,0.729813664596273
1985,913.847514225993,6434.6390149016,793.078444175533,6444.79759600952,0.691358024691358
1986,907.570893028773,6432.55529462105,791.57394904076,6453.08598303731,0.672839506172839
1987,926.089637235981,6434.40441555107,811.840435175995,6455.49311071759,0.614906832298137
1988,889.631822939704,6448.26835328091,771.266416801304,6472.08713949828,0.640579710144928
1989,849.289230904986,6470.00452815388,787.652945953852,6470.52491919685,0.607038123167155
1990,833.948333182444,6474.61726967625,773.933830199529,6468.53221393576,0.648255813953488
1991,839.469025154099,6462.57847261084,787.698118972481,6460.23565435006,0.636627906976744
1992,862.26580195446,6443.91900722395,797.516164223485,6444.63471409019,0.624615384615385
1993,903.637240753601,6431.6376785359,788.789873535999,6467.65840514328,0.617391304347826
1994,888.040210611375,6449.29767943545,755.002639480322,6482.07685144447,0.662857142857143
1995,872.322753516881,6449.87456467379,787.675535396864,6466.65673390268,0.610315186246418
1996,846.517104109,6453.43814542068,801.510784778965,6454.1712597596,0.610951008645533
1997,909.864593018541,6441.36677778413,771.935286078268,6472.62216956795,0.64756446991404
1998,880.597842431081,6430.03909453211,724.217886337299,6479.19109898008,0.740634005763689
1999,946.768791025379,6440.32283794038,730.136661037984,6492.68697063384,0.692753623188406
2000,902.214326640492,6440.66501005983,769.55752825573,6477.05399254292,0.627906976744186
2001,884.142072841559,6459.87438344836,744.62905938616,6509.99126440161,0.646900269541779
2002,921.203748470637,6458.90985461378,782.591260999341,6478.27804063003,0.609195402298851
2003,895.832642253439,6450.6732776003,779.986260141764,6487.02679705748,0.603448275862069
2004,885.585261307727,6459.66040265726,773.119976300939,6480.66042231235,0.62536023054755
2005,874.063265508831,6461.42126070764,738.584859777094,6517.99188132209,0.660427807486631
2006,880.028398934464,6462.64909754145,742.132971657885,6514.83256490894,0.641909814323607
2007,922.247014002455,6440.29204755811,780.39825603946,6475.73638926571,0.612068965517241
2008,904.493694692841,6453.29555751957,777.930800129345,6478.27705518502,0.603498542274053
2009,958.643630981738,6447.9708215365,782.221369110499,6477.53611009683,0.605187319884726
2010,908.215047243312,6509.36717650562,735.296982082839,6645.87227904603,0.661885245901639
2011,939.463549082701,6445.79970046888,792.693514055543,6478.72113182894,0.570200573065903
2012,904.977590321228,6453.21255796144,782.607554650984,6472.26824146037,0.613180515759312
2013,939.04579843341,6441.93495303964,783.910366107571,6469.75509700371,0.609195402298851
2014,933.179911811944,6425.47446852181,809.419370892241,6469.62198355824,0.554913294797688
2015,921.175689126942,6437.68093488305,802.471373814043,6469.286069276,0.566473988439306
2016,872.469450205237,6457.88146076423,797.359855687994,6463.2879694637,0.603448275862069
2017,848.450407565052,6536.98834509341,717.255953419872,6643.47942190023,0.723926380368098
2018,847.683998866512,6460.06373905723,779.521205635421,6462.1477447009,0.646551724137931
2019,825.410813490474,6573.92212157238,716.353885954831,6655.94783080164,0.719512195121951
